State/UT,Mean Age - Total (< 18),Mean Age - Total (18-20),Mean Age - Total (21+),Mean Age - Total (All Ages),Mean Age -  Rural (< 18),Mean Age -  Rural (18-20),Mean Age -  Rural (21+),Mean Age -  Rural (All Ages),Mean Age -  Urban (< 18),Mean Age -  Urban (18-20),Mean Age -  Urban (21+),Mean Age -  Urban (All Ages)
Andhra Pradesh,16.5,19.2,23.8,22.0,16.5,19.2,23.7,21.7,16.8,19.4,24.1,22.9
Assam,17.0,19.1,24.2,22.3,17.0,19.1,24.1,22.1,17.0,19.1,24.8,23.5
Bihar,16.7,19.3,23.6,21.8,16.7,19.3,23.4,21.6,16.9,19.4,24.1,22.6
Chhattisgarh,16.8,19.3,23.5,21.8,16.8,19.3,23.3,21.7,17.0,19.3,24.0,22.5
NCT of Delhi,17.0,19.3,25.0,23.7,0.0,19.4,24.6,23.7,17.0,19.3,25.0,23.7
Gujarat,16.9,19.4,24.0,22.5,16.9,19.3,23.4,21.7,16.8,19.5,24.8,23.4
Haryana,17.0,19.4,23.8,22.5,16.9,19.4,23.6,22.1,17.0,19.5,24.2,22.9
Himachal Pradesh,16.6,19.4,24.7,23.4,16.7,19.4,24.6,23.3,16.5,19.3,26.2,25.4
Jammu & Kashmir,16.9,19.4,26.0,25.1,16.9,19.4,25.4,24.5,17.0,19.5,27.2,26.3
Jharkhand,16.7,19.3,23.8,21.9,16.6,19.3,23.3,21.4,17.0,19.4,24.7,22.9
Karnataka,16.9,19.3,23.9,22.3,16.9,19.3,23.3,21.7,17.0,19.3,24.6,23.2
Kerala,16.9,19.2,24.8,23.2,16.9,19.1,24.6,23.0,17.0,19.3,24.9,23.5
Madhya Pradesh,16.8,19.1,23.4,21.4,16.8,19.1,23.0,21.0,16.8,19.3,24.2,22.7
Maharashtra,16.8,19.4,24.1,22.5,16.9,19.4,23.4,21.9,16.7,19.3,25.1,23.5
Odisha,16.6,19.3,23.9,21.9,16.6,19.2,23.7,21.7,16.9,19.3,25.0,23.3
Punjab,16.8,19.6,24.7,23.5,16.5,19.5,23.8,22.6,17.0,19.8,25.7,24.3
Rajasthan,16.5,19.2,23.5,21.5,16.4,19.2,23.1,21.2,16.9,19.2,24.3,22.6
Tamil Nadu,16.8,19.3,24.2,23.0,16.6,19.4,24.0,22.7,16.9,19.2,24.4,23.3
Telangana,17.0,19.3,23.7,22.0,17.0,19.4,23.2,21.6,17.0,19.1,24.6,22.8
Uttar Pradesh,16.7,19.2,23.7,22.2,16.7,19.2,23.2,21.7,16.6,19.3,24.5,23.4
Uttarakhand,16.7,19.4,23.5,22.3,16.7,19.4,23.2,21.9,16.6,19.4,24.3,23.2
West Bengal,16.7,18.9,23.5,21.2,16.7,19.0,23.2,20.7,16.8,18.8,23.9,22.0
