,State/UT,Name of Medical College,City/Town,"Govt/ 
Private","Admission 
Capacity","No. of  
beds in  
Attached 
Hospital"
154,Karnataka,"Hassan Institute of Medical Sciences, Hassan",Hassan,Govt.,150,500
155,Karnataka,"Jawaharlal Nehru Medical College, Belgaum",Belgaum,Trust,200,2200
156,Karnataka,"JJM Medical College, Davangere",Davangere,Trust,245,2069
157,Karnataka,"JSS Medical College, Mysore",Mysore,Trust,200,1050
158,Karnataka,"K S Hegde Medical Academy, Mangalore",Mangalore,Trust,150,1200
159,Karnataka,"K V G Medical College, Sullia",Sullia,Trust,100,570
160,Karnataka,"Kanachur Institute of Medical Sciences, Manglore",Mangalore,Trust,150,
161,Karnataka,"Karnataka Institute of Medical Sciences, Hubli",Hubli,Govt.,200,1200
162,Karnataka,"Karwar Institute of Medical Sciences, Karwar",Karwar,Govt.,150,
163,Karnataka,"Kasturba Medical College, Mangalore",Mangalore,Trust,250,1280
164,Karnataka,"Kasturba Medical College, Manipal",Manipal,Trust,250,2032
165,Karnataka,"Kempegowda Institute of Medical Sciences, Bangalore",Bangalore,Trust,150,1100
166,Karnataka,"Khaja Banda Nawaz University -Faculty of Medical Sciences, 
Gulbarga",Gulbarga,Trust,100,540
167,Karnataka,"Kodagu Institute of Medical Sciences, Kodagu",Kodagu,Govt.,150,
168,Karnataka,"Koppal Institute of Medical Sciences, Koppal",Koppal,Govt.,150,
169,Karnataka,"M S Ramaiah Medical College, Bangalore",Bangalore,Trust,150,1331
170,Karnataka,"Mahadevappa Rampure Medical College, Gulbarga",Gulbarga,Trust,150,1073
171,Karnataka,"Mandya Institute of Medical Sciences, Mandya",Mandya,Govt.,150,580
172,Karnataka,"MVJ Medical College and Research Hospital, Bangalore",Bangalore,Trust,150,900
173,Karnataka,"Navodaya Medical College, Raichur",Raichur,Trust,150,860
174,Karnataka,"Raichur Institute of Medical Sciences,Raichur",Raichur,Govt.,150,550
175,Karnataka,"Rajarajeswari Medical College & Hospital, Bangalore",Bangalore,Trust,250,1110
176,Karnataka,"S S Institute of Medical Sciences& Research Centre, 
Davangere",Davangere,Trust,150,930
177,Karnataka,"S. Nijalingappa Medical College & HSK Hospital & Research 
Centre, Bagalkot",Bagalkot,Trust,150,820
178,Karnataka,"Sambhram Institute of Medical Sciences & Research, Kolar",Kolar,Trust,0,
179,Karnataka,"Sapthagiri Institute of Medical Sciences & Research Centre, 
Bangalore",Bangalore,Trust,150,640
180,Karnataka,"SDM Medical Siences & HospitalCollege , Sattur, Dharwad",Dharwad,Trust,100,700
181,Karnataka,"Shimoga Institute of Medical Sciences,Shimoga",Shimoga,Govt.,150,650
182,Karnataka,"Shri B M Patil Medical College, Hospital & Research Centre, 
Bijapur",Bijapur,Trust,150,797
183,Karnataka,"Shridevi Institute of Medical Sciences & Research Hospital, 
Tumkur",Tumkur,Trust,150,300
184,Karnataka,"S. Nijalingappa Medical College & HSK Hospital & Research 
Centre",Bagalkot,Trust,150,
185,Karnataka,"Sri Devaraj URS Medical College, Kolar",Kolar,Trust,150,1139
186,Karnataka,"Sri Siddhartha Medical College, Tumkur",Tumkur,Trust,150,1100
187,Karnataka,"Srinivas Institute of Medical Research Centre, Srinivasnagar",Srinivasnagar,Trust,150,501
188,Karnataka,"St. Johns Medical College, Bangalore",Bangalore,Trust,150,1200
189,Karnataka,"Subbaiah Institute of Medical Sciences, Shimoga, Karnataka","Shimoga,",Trust,150,345
190,Karnataka,"The Oxford Medical College, Hospital & Research Centre, 
Bangalore",Bangalore,Society,150,
191,Karnataka,"Vijaynagar Institute of Medical Sciences, Bellary",Bellary,Govt.,150,1017
192,Karnataka,"Vydehi Institute Of Medical Sciences & Research Centre, 
Bangalore",Bangalore,Trust,150,1100
193,Karnataka,"Yenepoya Medical College, Mangalore",Mangalore,Trust,150,929
194,Kerala,"Academy of Medical Sciences,Pariyaram, Kannur",Kannur,Trust,100,1200
195,Kerala,"Al-Azhar Medical College and Super Speciality Hospital, 
Thodupuzha",Thodupuzha,Trust,0,380
196,Kerala,"Amala Institute of Medical Sciences, Thrissur",Thrissur,Trust,100,570
197,Kerala,"Amrita School of Medicine, Elamkara, Kochi",Kochi,Trust,100,1250
198,Kerala,"Azeezia Instt of Medical Science,Meeyannoor,Kollam",Kollam,Trust,100,500
199,Kerala,"Belivers Church Medical College Hospital, Thiruvalla",Thiruvalla,Trust,100,
200,Kerala,"DM Wayanad Institute of Medical Sciences, Wayanad, Kerala",Wayanad,Trust,150,
201,Kerala,"Dr. Somervel Memorial CSI Hospital & Medical College, 
Karakonam, Thiruvananthapuram",Thiruvananthapuram,Trust,100,550
202,Kerala,"Government Medical College, Ernakulam",Ernakulam,Govt,100,
203,Kerala,"Government Medical College, Kottayam",Kottayam,Govt.,150,910
204,Kerala,"Government Medical College, Kozhikode, Calicut",Calicut,Govt.,250,3080
205,Kerala,"Government Medical College, Manjeri, Malapuram Dist.",Malapuram,Govt.,100,501
206,Kerala,"Government Medical College, Painav, Idukki",Idukki,Govt.,0,300
207,Kerala,"Government Medical College, Parippally, Kollam",Kollam,Govt.,100,
208,Kerala,"Government Medical College, Thrissur",Thrissur,Govt.,150,2350
209,Kerala,"Govt Medical College, Yakkara, Palakkad",Palakkad,Govt.,100,750
210,Kerala,"Jubilee Mission Medical College & Research Institute, 
Thrissur",Thrissur,Trust,100,1620
211,Kerala,"Kannur Medical College, Kannur",Kannur,Trust,150,750
212,Kerala,"Karuna Medical College, Palakkad",Palakkad,Trust,100,500
213,Kerala,"Kerala Medical College, Mangode, Palakkad",Palakkad,Trust,0,
214,Kerala,"KMCT Medical College,Kozhikode, Calicut",Calicut,Trust,150,500
215,Kerala,"M E S Medical College , Perintalmanna Malappuram Distt.
Kerala",Malappuram,Trust,100,630
216,Kerala,"Malabar Medical College, Kozhikode,Calicut",Calicut,Trust,150,415
217,Kerala,"Malankara Orthodox Syrian Church Medical College, 
Kolenchery",Kolenchery,Trust,100,1200
218,Kerala,"Medical College, Thiruvananthapuram",Thiruvananthapuram,Govt.,200,
219,Kerala,"Mount Zion Medical College, Chayalode, Ezhamkulam Adoor, 
Pathanamthitta",Pathanamthitta,Society,0,
220,Kerala,"P K Das Institute of Medical Sciences, Palakkad, Kerala","Palakkad,",Trust,0,
221,Kerala,"Pushpagiri Institute Of Medical Sciences and Research 
Centre, Tiruvalla",Tiruvalla,Trust,100,1200
222,Kerala,"S.R. Medical College & Research Centre, Akathumjuri, 
Vennicode, Varkala, Thiruvananthapuram",Thiruvananthapuram,Trust,0,
223,Kerala,"Sree Narayana Instt. of Medical Sciences, 
Chalakka,Ernakulam",Ernakulam,Trust,100,500
224,Kerala,"Sree Uthradom Thiurnal Academy of Medical 
Sciences,Trivandrum",Trivandrum,Trust,100,500
225,Kerala,"Sri Gokulam Medical College Trust & Research Foundation, 
Trivandrum",Trivandrum,Trust,150,600
226,Kerala,"T D Medical College, Alleppey (Allappuzha)",Alleppey,Govt.,150,1051
227,Kerala,"Travancore Medical College, Kollam",Kollam,Trust,100,500
228,Madhya Pradesh,"All India Institute of Medical Sciences, Bhopal",Bhopal,Govt.,100,
229,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas",Dewas,Society,150,300
230,Madhya Pradesh,"Bundelkhand Medical College, Sagar",Sagar,Govt.,100,750
231,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal",Bhopal,Trust,150,1000
232,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Gwalior,Govt.,150,1320
233,Madhya Pradesh,"Gandhi Medical College, Bhopal",Bhopal,Govt.,150,935
234,Madhya Pradesh,Government Medical College,Chhindwara,Govt.,,
235,Madhya Pradesh,Government Medical College,Datia,Govt.,100,
236,Madhya Pradesh,Government Medical College,Khandwa,Govt.,100,
237,Madhya Pradesh,Government Medical College,Ratlam,Govt,150,
238,Madhya Pradesh,Government Medical College,Sahadol,Govt.,,
239,Madhya Pradesh,Government Medical College,Shivpuri,Govt.,,
240,Madhya Pradesh,Government Medical College,Vidisha,Govt.,150,
241,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore",Indore,Trust,150,1100
242,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal",Bhopal,Trust,150,750
243,Madhya Pradesh,"M G M Medical College, Indore",Indore,Govt.,150,980
244,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur",Jabalpur,Govt.,150,840
245,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, 
Bhanpur, Bhopal",Bhopal,Trust,150,650
246,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, 
Bhopal",Bhopal,Society,0,320
247,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",Ujjain,Trust,150,585
248,Madhya Pradesh,"Shyam Shah Medical College, Rewa",Rewa,Govt.,100,800
249,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , 
Indore",Indore,Trust,150,1140
250,Madhya Pradesh,"Sukh Sagar Medical College and Hospital, Jabalpur",Jabalpur,Trust,0,300
251,Maharashtra,"ACPM Medical College, Dhule",Dhule,Trust,0,
252,Maharashtra,"All India Institute of Medical Sciences, Nagpur",Nagpur,Govt.,50,
253,Maharashtra,"Armed Forces Medical College, Pune",Pune,Govt.,150,
254,Maharashtra,"Ashwini Rural Medical College, Hospital & Research Centre, 
Solapur",Solapur,Trust,100,
255,Maharashtra,"B. J. Govt. Medical College, Pune",Pune,Govt.,200,
256,Maharashtra,"B.K.L Walawalkar Rural Medical College, Ratnagiri",Ratnagiri,Trust,100,
257,Maharashtra,"Bharati Vidyapeeth Deemed University Medical College & 
Hospital, Sangli",Sangli,Trust,150,
258,Maharashtra,"Bharati Vidyapeeth University Medical College, Pune",Pune,Trust,150,
259,Maharashtra,"Dr Vaishampayan Memorial Medical College, Solapur",Solapur,Govt.,150,
260,Maharashtra,"Dr. D. Y. Patil Medical college, Hospital and Research Centre, 
Pimpri, Pune",Pune,Trust,250,
261,Maharashtra,"Dr. D Y Patil Medical College, Kolhapur",Kolhapur,Trust,150,
262,Maharashtra,"Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical 
College, Amravati",Amravati,Trust,100,
263,Maharashtra,"Dr. Shankarrao Chavan Govt. Medical College, Nanded",Nanded,Govt.,100,
264,Maharashtra,"Dr. Ulhas Patil Medical College & Hospital, Jalgaon",Jalgaon,Trust,100,
265,Maharashtra,"Dr.Vasantrao Pawar Med. Col. Hosp. & Research Centre, 
Nasik (Prev. NDMVP Samaj Medical College)",Nasik,Trust,120,
266,Maharashtra,Government Medical College,Latur,Govt.,150,
267,Maharashtra,Government Medical College,Akola,Govt.,150,
268,Maharashtra,Government Medical College,Aurangabad,Govt.,150,
269,Maharashtra,Government Medical College,Jalgaon,Govt.,100,
270,Maharashtra,Government Medical College,Chandrapur,Govt.,100,
271,Maharashtra,Government Medical College,Gondia,Govt.,100,
272,Maharashtra,Government Medical College,Baramati,Govt.,,
273,Maharashtra,Government Medical College,Miraj,Govt.,150,
274,Maharashtra,Government Medical College,Nagpur,Govt.,200,
275,Maharashtra,"Grant Medical College, Mumbai",Mumbai,Govt.,200,
276,Maharashtra,"H.B.T. Medical College and Dr. R.N. Cooper Municipal 
General Hospital, Juhu, Mumbai",Mumbai,Govt.,150,
277,Maharashtra,"Indian Institute of Medical Science & Research, Jalna",Jalna,Trust,100,
278,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur",Nagpur,Govt.,150,
279,Maharashtra,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha Wardha",,Trust,250,
280,Maharashtra,"KJ Somaiyya Medical College & Research Centre, Mumbai",Mumbai,Trust,50,
281,Maharashtra,"Krishna Institute of Medical Sciences, Karad",Karad,Trust,150,
282,Maharashtra,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai",Mumbai,Govt.,150,
283,Maharashtra,"Maharashtra Institute of Medical Sciences & Research, Latur",Latur,Trust,150,
284,Maharashtra,"Maharashtra Institute of Medical Education & Research, 
Talegaon, Pune",Pune,Trust,150,
285,Maharashtra,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, 
Wardha",Wardha,Trust,100,
286,Maharashtra,"Mahatma Gandhi Missions Medical College, Aurangabad",Aurangabad,Trust,150,
287,Maharashtra,"Mahatma Gandhi Missions Medical College, Navi Mumbai",Mumbai,Trust,150,
288,Maharashtra,"N. K. P. Salve Instt. of Medical Sciences and Research Centre 
and Lata Mangeshkar Hospital, Nagpur",Nagpur,Trust,150,
289,Maharashtra,"Padmashree Dr. D.Y.Patil Medical College, Navi Mumbai",Navi Mumbai,Trust,150,
290,Maharashtra,"Padmashri Dr. Vithalrao Vikhe Patil Foundations Medical 
College, Ahmednagar",Ahmednagar,Trust,150,
291,Maharashtra,"Prakash Institute of Medicval Sciences & Research, Sangli 
Road, Uran Islampur, Maharastra",Uran Islampur,Trust,150,Na
292,Maharashtra,"Rajashree Chatrapati Shahu Maharaj Government Medical 
College, Kolhapur",Kolhapur,Govt.,150,
293,Maharashtra,"Rajiv Gandhi Medical College and Chhatrapati Shivaji 
Maharaj Hospital, Thane",Thane,Govt.,60,
294,Maharashtra,"Rural Medical College, Loni",Loni,Trust,200,
295,Maharashtra,"Seth GS Medical College, Mumbai",Mumbai,Govt.,180,
296,Maharashtra,"Shri Vasant Rao Naik Govt. Medical College, Yavatmal",Yavatmal,Govt.,150,
297,Maharashtra,"SMBT Institute of Medical Sciences & Research Centre, 
Nandihills, Nashik",Nashik,Trust,150,
298,Maharashtra,"Smt. Kashibai Navale Medical College and General 
Hospital,Pune",Pune,Trust,150,
299,Maharashtra,"Sri Bhausaheb Hire Government Medical College, Dhule",Dhule,Govt.,100,
300,Maharashtra,"SRTR Medical College, Ambajogai",Ambajogai,Govt.,100,
301,Maharashtra,"Terna Medical College, Navi Mumbai",Mumbai,Trust,100,
302,Maharashtra,"Topiwala National Medical College, Mumbai",Mumbai,Govt.,120,
303,Maharashtra,"Vedantaa Institute of Medical Sciences, Palghar",Palghar,Private,150,
304,Manipur,"Jawaharlal Nehru Institute of Medical 
Sciences,Porompet,Imphal",Imphal,Govt.,100,
305,Manipur,"Regional Institute of Medical Sciences, Imphal",Imphal,Govt.,100,
306,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health and 
Medical Sciences, Shillong",Shillong,Govt.,50,
307,Mizoram,"Mizoram Institute of Medical Education and Research, 
Mizoram",Mizoram,Govt.,100,
308,Odisha,"All India Institute of Medical Sciences, Bhubaneswar",Bhubaneswar,Govt,100,
309,Odisha,"Govt. Medical College and Hospital, Balasore",Balasore,Govt,100,
310,Odisha,"Govt Medical college and Hospital, Bolangir",Bolangir,Govt,100,
311,Odisha,"Hi-Tech Medical College & Hospital, Bhubaneswar",Bhubaneswar,Trust,100,550
312,Odisha,"Hi-Tech Medical College & Hospital, Rourkela",Rourkela,Trust,0,450
313,Odisha,"Instt. Of Medical Sciences & SUM Hospital, Bhubaneswar",Bhubaneswar,Trust,150,830
314,Odisha,"Kalinga Institute of Medical Sciences, Bhubaneswar",Bhubaneswar,Trust,150,1000
315,Odisha,"MKCG Medical College, Berhampur",Berhampur,Govt.,250,1062
316,Odisha,"Pt. Raghunath Murmu Medical College and Hospital, 
Baripada",Baripada,Govt,100,
317,Odisha,"Saheed Laxman Nayak Medical College & Hospital, Koraput",Koraput,Govt,100,
318,Odisha,"SCB Medical College, Cuttack",Cuttack,Govt.,250,2066
319,Odisha,"Veer Surendra Sai Institute of Medical Sciences and 
Research, Burla",Burla,Govt.,150,964
320,Puducherry,"Aarupadai Veedu Medical College, Pondicherry",Pondicherry,Trust,100,540
321,Puducherry,"Indira Gandhi Medical College & Research Institute, 
Puducherry",Puducherry,Govt.,150,700
322,Puducherry,"Jawaharlal Institute of Postgraduate Medical Education & 
Research, Puducherry",Puducherry,Govt.,200,1690
323,Puducherry,"Mahatma Gandhi Medical College & Research Institute, 
Pondicherry",Puducherry,Trust,250,950
324,Puducherry,"Pondicherry Institute of Medical Sciences & Research, 
Pondicherry",Puducherry,Trust,100,640
325,Puducherry,"Sri Lakshmi Narayana Institute of Medical Sciences, 
Pondicherry",Puducherry,Trust,150,750
326,Puducherry,"Sri Manakula Vinayagar Medical College & Hospital, 
Pondicherry",Puducherry,Trust,150,800
327,Puducherry,"Sri Venkateswaraa Medical College, Hospital & Research 
Centre, Pondicherry",Puducherry,Trust,150,830
328,Puducherry,"Vinayaka Missions Medical College, Pondicherry",Puducherry,Trust,100,730
329,Punjab,"Adesh Institute of Medical Sciences & Research, Bhatinda",Bhatinda,Trust,150,700
330,Punjab,"Christian Medical College, Ludhiana",Ludhiana,Trust,75,650
331,Punjab,"Dayanand Medical College & Hospital, Ludhiana",Ludhiana,Trust,100,1048
332,Punjab,"Government Medical College, Amritsar",Amritsar,Govt.,200,1091
333,Punjab,"Government Medical College, Patiala",Patiala,Govt.,200,1106
334,Punjab,"Guru Govind Singh Medical College, Faridkot",Faridkot,Govt.,100,500
335,Punjab,"Punjab Institute of Medical Sciences, Jalandhar",Jalandhar,Trust,150,500
336,Punjab,"Sri Guru Ram Das Institute of Medical Sciences and Research, 
Sri Amritsar",Amritsar,Trust,150,875
337,Rajasthan,"All India Institute of Medical Sciences, Jodhpur",Jodhpur,Govt.,100,
338,Rajasthan,"American International Institute of Medical Sciences, Bedwas",Bedwas,Private,150,
339,Rajasthan,"Ananta Institute of Medcial Sciences & Research Centre, 
Rajsamand",Rajsamand,Society,150,
340,Rajasthan,"Dr SN Medical College, Jodhpur",Jodhpur,Govt.,250,2831
341,Rajasthan,"Geetanjali Medical College & Hospital,Udaipur",Udaipur,Trust,250,
342,Rajasthan,Government Medical College,Barmer,Govt.,,
343,Rajasthan,"Govt. Medical College, Bharatpur",Bhatratpur,Govt.,100,
344,Rajasthan,"Govt. Medical College, Bhhilwara",Bhilwara,Govt.,100,
345,Rajasthan,"Govt. Medical College, Churu",Churu,Govt,100,
346,Rajasthan,"Govt. Medical College, Dungarpur",Dungarpur,Govt,100,
347,Rajasthan,"Government Medical College, Kota",Kota,Govt.,150,1172
348,Rajasthan,"Govt. Medical College, Pali",Pali,Govt,100,
349,Rajasthan,"Jaipur  National University Institute of Medical Sciences and 
Research Centre, Jajatpur, Jaipur.",Jaipur,Private,150,
350,Rajasthan,"Jawaharlal Nehru Medical College, Ajmer",Ajmer,Govt.,150,1328
351,Rajasthan,"Jhalawar Medical College, Jhalawar",Jhalawar,Govt.,150,580
352,Rajasthan,"Mahatma Gandhi Medical College and Hospital, Jaipur",Jaipur,Trust,150,
353,Rajasthan,"National Institute of Medical Science & Research, Jaipur",Jaipur,Trust,150,
354,Rajasthan,"Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur",Udaipur,Trust,0,
355,Rajasthan,"Pacific Institute of Medical Sciences, Umarda, Udaipur.",Udaipur,Society,150,
356,Rajasthan,"R N T Medical College, Udaipur",Udaipur,Govt.,150,2006
357,Rajasthan,"RUHS College of Medical Sciences, Jaipur",Jaipur,Govt.,100,322
358,Rajasthan,"Sardar Patel Medical College, Bikaner",Bikaner,Govt.,250,2088
359,Rajasthan,"SMS Medical College, Jaipur",Jaipur,Govt.,250,4734
360,Sikkim,"Sikkim Manipal Institute of Medical Sciences, Gangtok",Gangtok,Trust,100,650
361,Tamil Nadu,"ACS Medical College and Hospital, Chennai",Chennai,Trust,150,700
362,Tamil Nadu,"Annapoorna Medical College & Hospital, Salem",Salem,Trust,0,503
363,Tamil Nadu,"Chengalpattu Medical College, Chengalpattu",Chengalpattu,Govt.,100,630
364,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram",Kanchipuram,Trust,250,1000
365,Tamil Nadu,"Christian Medical College, Vellore",Vellore,Trust,100,2695
366,Tamil Nadu,"Coimbatore Medical College, Coimbatore",Coimbatore,Govt.,150,1020
367,Tamil Nadu,"Dhanalakshmi Srinivasan Medical College and 
Hospital,Perambalur",Perambalur,Trust,150,500
368,Tamil Nadu,"ESI- PGIMSR, ESI Hospital,K.K. Nagar, Chennai",Chennai,Govt.,100,330
369,Tamil Nadu,"Government Dharmapuri Medical College, Dharmapuri",Dharmapuri,Govt.,100,500
370,Tamil Nadu,Government Medical College,Karur,Govt.,,
371,Tamil Nadu,"Government Medical College & ESIC Hospital, Coimbatore",Coimbatore,Govt.,100,
372,Tamil Nadu,"Government Sivgangai Medical College, Sivaganga",Sivaganga,Govt.,100,500
373,Tamil Nadu,"Government Medical College, Omandurar",Omandurar,Govt.,100,
374,Tamil Nadu,"Govt. Medical College, Pudukottai",Pudukottai,Govt.,150,
375,Tamil Nadu,"Government Thiruvannamalai Medical College, 
Thiruvannamalai",Thiruvannamalai,Govt.,100,750
376,Tamil Nadu,"Government Vellore Medical College, Vellore",Vellore,Govt.,100,750
377,Tamil Nadu,"Government Villupuram Medical College, Villupuram",Villupuram,Govt.,100,500
378,Tamil Nadu,"IRT Perundurai Medical College, Perndurai",Perundurai,Govt.,100,
